Date,Product,Category,Quantity,Sales
2024-04-12,Tablet,Electronics,1,15000
2024-12-14,Watch,Accessories,2,10000
2024-09-27,Phone,Electronics,1,20000
2024-04-16,Shirt,Clothing,4,6000
2024-03-12,Phone,Electronics,1,20000
2024-07-07,Shoes,Footwear,4,12000
2024-01-21,Laptop,Electronics,4,200000
2024-04-12,Laptop,Electronics,3,150000
2024-05-01,Shirt,Clothing,5,7500
2024-08-02,Laptop,Electronics,4,200000
2024-11-26,Laptop,Electronics,3,150000
2024-03-28,Shirt,Clothing,5,7500
2024-04-09,Watch,Accessories,4,20000
2024-12-25,Watch,Accessories,4,20000
2024-05-31,Shirt,Clothing,1,1500
2024-05-10,Shoes,Footwear,1,3000
2024-05-29,Laptop,Electronics,5,250000
2024-11-04,Laptop,Electronics,4,200000
2024-09-14,Shoes,Footwear,2,6000
2024-12-09,Watch,Accessories,1,5000
2024-10-20,Tablet,Electronics,5,75000
2024-07-10,Tablet,Electronics,4,60000
2024-10-03,Tablet,Electronics,4,60000
2024-06-09,Watch,Accessories,2,10000
2024-11-09,Watch,Accessories,5,25000
2024-01-22,Shoes,Footwear,4,12000
2024-09-09,Laptop,Electronics,1,50000
2024-08-23,Shoes,Footwear,2,6000
2024-12-10,Shoes,Footwear,5,15000
2024-02-18,Watch,Accessories,2,10000
2024-02-28,Tablet,Electronics,1,15000
2024-06-18,Phone,Electronics,5,100000
2024-07-06,Laptop,Electronics,2,100000
2024-09-27,Watch,Accessories,3,15000
2024-07-08,Tablet,Electronics,1,15000
2024-06-23,Phone,Electronics,1,20000
2024-02-20,Phone,Electronics,1,20000
2024-12-29,Watch,Accessories,3,15000
2024-02-24,Shirt,Clothing,3,4500
2024-08-31,Laptop,Electronics,4,200000
2024-11-15,Phone,Electronics,2,40000
2024-05-10,Watch,Accessories,4,20000
2024-11-02,Watch,Accessories,2,10000
2024-05-14,Tablet,Electronics,3,45000
2024-01-21,Shirt,Clothing,3,4500
2024-11-24,Laptop,Electronics,4,200000
2024-06-15,Shoes,Footwear,5,15000
2024-09-30,Tablet,Electronics,4,60000
2024-03-29,Phone,Electronics,2,40000
2024-11-11,Phone,Electronics,4,80000
2024-01-14,Tablet,Electronics,1,15000
2024-08-29,Watch,Accessories,2,10000
2024-09-21,Phone,Electronics,2,40000
2024-12-11,Shirt,Clothing,5,7500
2024-02-22,Laptop,Electronics,3,150000
